,Text,Source,Target,Polar_expression,Polarity
0,I ’m definitely going there again whenever I get a chance .,['I'],['there'],['definitely going again'],P
1,Have also stayed in other hotels and to me NH CARLTON is definitely the best .,['me'],['NH CARLTON'],['definitely the best'],P
2,Clean sizeable room with good facilities in the part of the hotel we were in .,['we'],['facilities'],['good'],P
3,I know some people complained .,['I'],['some people'],['complained'],N
4,"Even though the price is decent for Paris , I would not recommend this hotel .",['I'],['this hotel'],['would not recommend'],N
5,"We had experienced our best holiday stay ever , so far .",['We'],['holiday stay'],['best ever'],P
6,"We would like to stress the preciseness and quality of tha staff 's services , especially in the restaurant .",['We'],"[""quality of tha staff 's services""]",['would like to stress'],P
7,We were very suprised over the staffs knowledge of foreign languages .,['We'],['the staffs knowledge of foreign languages'],['very suprised'],P
8,We would like to visit the Dana Beach Resort again .,['We'],['the Dana Beach Resort'],['would like to visit again'],P
9,"We preferred to use the Sunrise restaurant apposed to the Sentido as we found the service much better and the air conditioning worked better , although both had the same food with we think could have been better as the meals were aimed more for the Russians and Egyptians .",['We'],['the Sunrise restaurant'],['preferred'],P
10,"For 160 € without breakfast I believe I should get a decent room also in Paris , but this was not the case .",['I'],['a decent room'],['the case'],N
11,I will NOT recommend this hotel to anyone .,['I'],['this hotel'],['will NOT recommend'],N
12,And they will never have me as a guest again .,['me'],['they'],['never have as a guest again'],N
13,"We took the package of the honeymooners , and we spent one of the best holidays ever !",['We'],['the package of the honeymooners'],['took'],P
14,"Having the Level Member offer , we had several VIP services ( free mini bar refilled , bottle of wine as a welcoming reception , VIP restaurant for breakfast , free lounge bar access ( alcohol + sweets + tea / coffee / ... ) , discount on several things ( restaurant , laundry , shopping areas , clubs ... )",['we'],['several VIP services'],['had'],P
15,We will surely visit it again next summer !,['We'],['it'],['surely visit again'],P
16,The most enjoyable vacation for me and family,['me'],['vacation'],['The most enjoyable'],P
17,We decided to visit Dana beach resort again in our next holiday .,['We'],['Dana beach resort'],['visit again'],P
18,I loved rooftop swimming pool !,['I'],['rooftop swimming pool'],['loved'],P
19,Hardly I ’ll stay in this hotel again but In general I liked it !,['I'],['it'],['liked'],P
20,"Although I wouldn 't say this was a cheap holiday , it didn 't break the bank either , so if you want a guaranteed tan go to Egypt , if not and its your main summer / yearly holiday , I wouldn 't recommended it ... I , d go somewhere else to avoid disappointment .",['I'],['it'],"[""wouldn 't recommended""]",N
21,I hope to be there next summer for more days !,['I'],['there'],['hope to be'],P
22,We are going to visit it again next year .,['We'],['it'],['visit again'],P
23,It 's a very warm and comfy hotel which makes you feel at home right away .,['you'],['hotel'],['very warm'],P
24,We enjoyed breakfast and one dinner at the hotel and it was both great .,['We'],['breakfast'],['enjoyed'],P
25,"If we plan another visit to Cologne , we would certainly stay at this hotel again .",['we'],['this hotel'],['would certainly stay again'],P
26,For the rest it is very dirty ( for example we found little insects in the room ) and the sheets were not well cleaned ( we found stains of I don 't want to know what was ) .,['we'],['stains'],['found'],N
27,( the Russians where happy ) I will go back to this hotel next year as we had a great holiday .,['I'],['this hotel'],['will go back'],P
28,I would rank this one among the top five of visits · ever !,['I'],['this one'],['rank among the top five of visits ever !'],P
29,I would go back but bring my own music for disco : ),['I'],['my own music'],['bring'],N
30,Second day was toilet cleaned and rest of our stay we had no problem with this .,['we'],['toilet'],['was cleaned'],P
31,We really enjoyed our stay .,['We'],['our stay'],['really enjoyed'],P
32,"Nevertheless , because of its good location aside the liverpool One Shopping centre , with a lot of bars and restaurant , I continue going there when travelling to Liverpool .",['I'],['location'],['good'],P
33,I found this hotel one of the best I have stayed in while travelling in Europe for value and service .,['I'],['this hotel'],['one of the best I have stayed in'],P
34,I booked this hotel for seven days but after two nights I had to change it .,['I'],['it'],['had to change'],N
35,I will be going again I hope as loved the hotel and relaxed in comfort .,['I'],['the hotel'],['loved'],P
36,"We booked this hotel / apartment because it had excellent reviews , but I was really underwhelmed .",['I'],['reviews'],['really underwhelmed'],N
37,"First , we arrived around 9 pm and were charged a steep 20 EUR “ late check · in fee ’ , which wasn ’t disclosed on my confirmation e · mail , and was only fine print on the website I used to book the room .",['we'],['20 EUR “ late check · in fee'],['were charged'],N
38,"This was already a deal breaker , because had I known this , I would have booked a better hotel for 20 EUR more .",['I'],['This'],['a deal breaker'],N
39,I don 't recommend this hotel !,['I'],['this hotel'],"[""don 't recommend""]",N
40,I 've stayed at the hotel for 3 times last 12 month .,['I'],['the hotel'],"[""'ve stayed for 3 times last 12 month""]",P
41,"Every time I come to the hotel , all staff welcomes me , feels like coming home",['me'],['staff'],['welcomes'],P
42,I expect them to reply much quicker for the next time .,['I'],['reply much quicker'],['expect them'],N
43,I have absolutely nothing to complain about : everything was good .,['I'],['everything'],['good'],P
44,I couldn 't find anything interesting around it .,['I'],['it'],"[""couldn 't find anything interesting""]",N
45,"Last day we finished toilet paper , we haven 't found a new roll .",['we'],['a new roll'],"[""haven 't found""]",N
46,We enjoyed a very nice weekend break in the Köln Dorint .,['We'],['weekend break'],['very nice'],P
47,I wil not recommend anyone to stay there .,['I'],['there'],['not recommend'],N
48,"I remeber we booked the hotel mainly because of it ´ s central location and the price , but definately wouldn ´ t repeat my stay in there .",['we'],['the price'],['central'],P
49,We had 3 complaints .,['We'],['3 complaints'],['had'],N
50,"Overall we had a nice stay , on a nice place .",['we'],['place'],['had a nice stay'],P
51,Personally I prefer one of the other NN hotels .,['I'],['other NN hotels'],['prefer'],N
52,I would recommend this for someone wanting a relaxing time .,['I'],['this'],['recommend'],P
53,"Although we stayed at a very busy time ( the last few days of Octoberfest ) , the staff paid attention to detail and we felt very welcome .",['we'],['the staff'],['paid attention to detail'],P
54,We are surely coming back to this very good hotel .,['We'],['hotel'],['surely coming back'],P
55,"The booking conditions were · free cancelation , but they charged me full amount with no explanation .",['me'],['The booking conditions'],['they'],N
56,But despite that we would definately recommend this hotel for holidays and we had a very good time there .,['we'],['this hotel'],['would definately recommend'],P
57,I of course recommend Dana Beach !,['I'],['Dana Beach'],['recommend !'],P
58,We thoroughly enjoyed our stay and would happily return when we visit York again,['We'],['our stay'],['enjoyed'],P
59,"Upon contacting the hotel one week before trip to cancel reservation we discovered that no refund will be possible while no advice was provided , during reservation , about cancelling policies .",['we'],['refund'],['no will be possible'],N
60,We are very very unhappy about this treatment in such serious situation and after staying there a lot of times .,['We'],['there'],['very very unhappy'],N
61,the biggest room in Golden Sands and i think biggest hotel bathroom in Bulgaria .,['i'],['hotel bathroom'],['biggest'],P
